vehicle_density,waiting_time,flow_rate,queue_length,emergency_vehicle,opposing_density,green_duration
72,59,54,27,0,75,56
43,11,32,14,0,26,22
13,10,14,1,0,2,12
94,44,49,26,0,88,50
63,34,36,17,0,23,29
64,27,34,8,0,53,34
68,21,38,14,0,25,39
53,36,32,10,0,52,40
75,45,55,23,0,79,59
78,42,58,27,0,73,59
19,11,10,3,0,16,17
21,24,30,12,0,64,31
95,43,58,23,0,98,56
95,53,45,24,0,85,57
52,15,37,12,0,42,29
12,7,1,3,0,4,18
30,24,25,11,0,50,36
11,1,13,4,0,8,11
72,40,47,25,0,78,52
4,13,2,4,0,18,19
12,9,17,7,0,7,12
52,32,34,5,0,52,34
33,30,27,12,0,25,25
27,19,39,19,0,52,39
46,13,25,13,0,56,42
73,41,49,24,0,82,50
14,3,12,7,0,14,17
84,43,51,21,0,85,48
46,14,39,15,0,59,25
92,54,53,29,0,67,53
77,50,51,23,0,54,52
79,56,48,25,0,63,52
10,6,0,4,0,13,13
94,40,58,27,0,96,53
29,29,28,7,0,44,30
6,1,1,0,0,11,12
94,46,59,25,0,82,45
62,31,37,9,0,36,39
39,31,27,5,0,51,32
38,39,36,17,0,35,27
20,23,38,19,0,47,36
57,28,23,5,0,58,22
29,28,33,6,0,42,42
87,46,47,20,0,52,52
98,47,54,24,0,82,56
71,42,53,27,0,65,48
13,14,15,1,0,6,10
88,55,58,23,0,67,46
4,3,10,9,0,2,16
89,44,44,25,0,58,46
2,3,11,7,0,13,16
36,27,38,5,0,59,21
58,18,30,18,1,48,32
56,20,25,6,0,61,23
53,26,24,13,0,31,42
91,45,47,21,0,56,54
13,1,10,0,0,3,12
90,50,47,23,0,88,52
53,32,34,12,0,24,43
73,54,59,22,0,92,45
64,20,21,13,0,28,28
20,34,30,12,0,58,22
4,11,11,2,0,1,12
68,38,36,14,0,68,34
85,58,47,24,0,86,50
27,34,37,13,0,45,28
14,9,15,6,1,6,14
67,17,37,15,0,37,39
17,10,9,6,0,2,11
10,7,11,6,0,16,13
44,22,37,5,0,61,31
92,42,49,21,0,62,57
51,12,26,18,0,68,40
35,33,31,19,0,49,44
39,14,20,18,0,64,33
87,43,57,24,0,50,49
8,14,16,8,0,11,19
56,20,25,11,0,65,43
32,11,26,8,0,27,39
18,12,13,9,0,8,10
5,4,4,5,0,16,18
16,12,9,2,0,16,17
2,5,12,7,0,8,13
53,20,28,12,0,47,28
71,51,49,28,0,74,49
53,33,34,10,0,24,35
25,14,35,17,0,32,36
82,58,42,27,0,89,55
0,5,18,7,0,15,18
64,34,29,8,0,57,26
12,9,18,6,0,10,14
50,27,23,6,0,48,31
82,53,56,28,0,80,46
43,22,22,10,0,26,29
53,37,34,18,0,41,23
73,57,43,20,0,66,54
41,35,37,6,1,66,31
54,29,31,11,0,52,25
51,28,30,14,0,53,33
23,26,22,17,0,34,42
10,3,1,3,0,2,10
14,4,19,5,0,4,12
57,24,21,17,0,68,44
37,24,31,15,0,65,44
7,14,13,1,0,2,14
2,3,13,8,0,6,10
39,13,28,10,0,41,41
21,33,27,15,1,36,27
49,27,33,19,0,51,30
52,37,25,13,0,41,38
86,51,53,25,0,69,45
51,27,20,6,0,60,32
82,59,46,21,1,75,58
34,11,29,11,0,59,30
96,45,48,25,0,80,53
27,17,37,16,0,66,26
35,13,25,14,0,22,28
83,50,57,25,0,61,57
38,32,33,8,0,48,42
51,28,31,6,0,38,41
60,36,22,16,0,54,41
70,46,51,20,0,80,54
39,14,23,16,0,39,43
51,18,23,14,0,55,21
55,15,26,14,1,31,22
59,30,34,5,0,27,23
9,11,13,1,0,4,15
66,23,26,13,0,58,25
44,34,21,7,0,20,27
55,22,34,19,0,22,41
79,49,51,28,0,69,52
20,34,39,16,0,56,34
56,26,36,12,0,47,34
11,10,19,1,0,8,14
0,6,2,5,0,4,10
33,21,29,8,1,43,30
94,57,46,27,0,99,51
39,32,32,8,0,61,42
90,40,47,25,0,71,59
45,20,29,18,0,36,27
16,11,7,8,0,0,10
85,53,55,24,0,77,46
5,14,8,0,0,15,18
78,50,43,21,0,95,48
25,11,37,17,0,38,32
6,8,14,0,0,6,14
48,34,20,5,0,54,31
80,42,47,29,0,58,47
27,25,21,10,0,48,44
53,25,24,19,0,34,30
25,23,37,16,0,64,40
92,55,54,24,0,74,48
14,3,12,5,0,13,13
89,53,54,22,0,91,48
21,26,32,8,0,49,30
81,49,46,26,0,98,54
93,43,59,23,0,50,56
79,54,52,26,0,70,50
45,18,34,14,0,61,27
68,35,24,8,0,38,23
29,34,37,7,0,52,42
66,26,22,16,0,40,36
74,54,42,26,0,59,53
44,11,22,11,0,22,29
58,18,36,15,1,65,38
57,19,26,17,0,59,24
2,8,7,0,0,8,16
86,41,44,24,0,57,46
63,38,22,10,0,42,31
36,12,21,11,0,27,41
55,14,32,17,0,35,29
94,55,51,20,0,57,48
49,22,38,12,0,39,27
20,34,39,10,0,27,26
15,11,5,3,0,13,13
69,22,21,13,0,46,44
30,12,39,18,0,23,37
54,31,30,19,1,56,39
84,56,49,25,0,84,58
13,5,2,6,0,8,14
96,41,42,21,1,67,54
0,3,13,0,0,13,13
60,15,32,9,0,40,21
34,13,32,16,0,51,32
19,1,5,1,0,18,12
53,19,21,18,1,50,43
92,58,48,22,0,77,58
76,55,55,20,0,88,52
6,11,19,3,0,5,16
56,29,22,11,0,41,33
98,44,41,24,0,64,49
58,14,20,17,0,69,32
17,4,12,3,0,16,14
3,1,19,1,0,8,13
9,4,9,0,0,16,17
20,11,35,17,0,69,27
30,32,21,12,0,27,36
42,33,32,7,0,63,20
27,22,27,13,0,20,32
2,7,16,4,0,7,19
55,20,39,19,0,47,38
74,44,47,29,0,81,56
7,7,8,1,0,2,10
73,53,48,28,1,99,54
31,36,27,6,0,51,35
1,10,9,0,0,8,18
33,37,37,10,0,39,40
65,26,22,14,0,58,36
84,57,52,24,1,95,52
42,21,30,10,0,44,41
32,27,21,17,0,46,37
88,51,52,25,0,82,52
38,32,26,16,0,56,34
95,55,47,20,0,52,45
72,49,41,28,0,95,51
21,18,35,17,0,55,41
11,0,13,8,0,19,12
5,7,18,4,0,14,13
43,31,22,14,0,40,41
40,19,25,18,0,64,39
26,13,33,7,0,35,42
43,11,37,7,0,38,36
38,31,32,16,0,57,40
38,25,32,8,0,68,42
89,56,54,28,0,94,45
23,29,35,19,0,25,34
10,6,8,9,0,19,19
32,20,36,18,0,64,25
64,28,38,14,0,45,38
56,29,36,9,0,24,23
73,46,46,21,0,73,53
78,53,51,28,0,73,53
11,9,6,2,0,13,17
15,5,9,8,0,11,18
62,29,37,14,0,40,23
46,16,25,19,0,51,43
43,24,35,11,0,45,31
33,34,24,14,0,24,22
56,33,36,7,0,40,31
60,10,37,9,0,61,44
0,0,1,9,0,6,15
53,15,33,10,0,29,40
91,55,41,29,0,97,47
41,21,34,12,0,29,22
86,46,59,29,0,95,48
59,30,34,10,0,33,28
47,35,36,19,0,22,27
79,59,42,25,0,72,53
62,28,24,7,0,31,29
97,48,43,24,0,58,59
83,47,57,29,0,55,56
85,42,52,22,0,92,52
47,10,27,9,0,67,30
49,15,33,10,0,28,31
35,10,32,11,0,49,32
47,15,24,13,0,23,44
4,2,8,3,0,5,12
30,11,34,16,0,40,43
22,21,35,9,0,45,20
89,41,48,22,0,60,53
41,26,24,16,0,34,22
98,55,41,21,0,77,59
78,59,40,27,0,52,48
14,5,14,4,0,13,13
11,0,6,8,0,12,11
25,36,21,12,0,33,23
54,28,33,15,0,44,27
45,15,35,13,0,22,29
47,29,32,11,0,28,42
38,24,39,18,0,55,27
78,40,59,28,0,84,53
99,48,43,23,0,51,53
41,18,35,17,0,67,31
65,27,24,8,0,63,20
28,38,28,8,0,53,43
7,12,14,7,0,11,18
48,31,27,9,0,39,44
23,32,26,16,0,41,31
41,21,21,12,0,60,20
75,45,57,20,0,55,54
18,11,9,0,0,12,10
33,12,35,17,0,68,32
68,23,36,18,0,39,20
40,30,36,18,0,60,28
16,8,16,7,0,6,16
12,10,13,2,0,13,10
38,21,27,12,0,64,31
52,22,26,16,0,27,44
42,39,32,19,0,66,39
21,13,20,19,0,56,38
59,29,36,5,0,34,28
8,9,1,2,0,9,11
78,46,42,23,0,51,57
85,47,41,20,0,61,47
64,24,24,9,0,50,44
57,37,30,6,0,64,42
57,35,31,6,0,22,31
7,10,15,9,0,3,10
53,33,24,11,0,20,20
18,12,9,1,0,10,10
74,47,41,23,0,87,45
86,52,57,24,0,73,55
64,13,33,10,0,46,29
25,36,34,9,0,56,24
4,2,5,3,1,8,10
96,54,59,20,0,97,50
56,18,36,17,0,41,40
18,2,9,1,0,18,19
83,51,51,26,0,50,56
54,22,34,6,0,36,22
7,5,18,4,0,7,14
55,31,38,19,0,53,30
66,21,30,11,0,36,43
83,51,45,20,0,75,56
51,15,23,10,0,43,42
30,34,38,6,0,33,37
66,24,23,11,0,67,28
82,56,56,20,0,57,47
22,36,24,17,0,50,42
91,50,42,25,0,70,56
2,7,14,2,1,7,19
6,13,6,2,0,4,10
82,47,47,24,0,58,59
2,1,7,6,0,13,13
57,20,22,12,0,32,32
64,38,38,15,0,21,27
71,49,55,25,0,51,54
66,37,21,11,0,42,33
92,46,46,20,0,79,49
88,58,56,26,0,59,54
19,3,17,1,0,19,14
3,12,7,1,0,13,11
71,50,48,20,0,80,45
45,27,25,5,0,69,27
74,51,50,28,0,68,53
11,3,3,1,0,12,12
15,7,11,2,0,0,18
29,24,30,17,0,43,31
73,54,48,24,0,68,56
16,4,15,6,0,8,12
37,23,22,16,0,26,28
74,52,43,21,0,58,50
41,10,23,17,0,64,21
27,16,23,6,0,25,31
97,47,40,23,0,92,47
68,31,29,9,0,29,33
75,41,56,23,0,84,53
57,26,31,10,0,48,30
5,0,19,6,0,14,10
31,36,29,15,0,60,21
76,40,46,23,0,61,55
32,16,23,19,0,51,30
7,12,3,7,0,8,11
32,24,31,14,0,59,28
93,59,57,25,0,75,56
45,34,29,15,0,30,32
7,3,14,0,0,19,15
97,54,48,21,0,99,49
60,20,20,6,0,53,34
40,23,24,10,0,41,37
65,22,22,18,0,27,31
11,0,16,1,0,11,15
73,42,55,27,0,75,58
30,14,37,7,0,57,41
75,43,51,22,0,83,45
15,1,1,6,0,9,17
55,24,20,15,0,39,43
48,31,31,13,0,55,24
47,19,30,9,0,59,21
67,36,24,15,0,22,31
29,13,28,10,0,46,21
6,0,2,3,0,2,12
13,0,17,3,0,17,13
0,9,12,3,0,9,18
95,40,56,25,0,94,53
4,10,18,4,0,18,12
76,54,46,29,0,70,58
61,29,34,6,0,48,27
88,55,46,28,0,64,47
22,24,27,19,0,53,43
23,12,21,13,0,42,32
99,48,45,24,0,89,51
90,59,42,22,0,53,56
55,24,28,9,0,69,24
46,28,33,13,0,66,41
35,33,27,5,0,50,29
53,39,28,5,0,29,41
73,55,59,28,0,86,50
44,28,23,5,0,43,21
51,16,25,5,0,58,44
96,48,48,25,0,52,45
31,25,34,17,0,20,36
34,13,23,6,0,62,39
83,40,53,21,0,53,52
38,15,20,5,0,20,24
25,17,32,18,0,31,35
79,59,43,26,0,71,47
27,16,33,12,0,69,35
18,1,19,7,0,16,14
46,21,36,10,0,47,33
52,39,37,13,0,24,21
76,43,40,23,0,64,51
88,59,57,29,0,57,54
29,26,21,10,0,47,28
45,29,28,5,0,31,26
79,41,42,21,0,59,50
10,6,6,5,0,8,15
38,29,22,19,0,53,41
14,10,9,8,0,15,15
55,36,21,17,0,38,44
84,58,55,24,0,71,48
44,22,20,5,0,26,36
38,10,29,8,0,65,29
25,25,25,5,0,46,41
40,34,34,19,0,28,38
36,20,28,14,0,64,27
42,24,39,19,0,52,44
80,55,41,27,0,99,47
70,50,55,21,0,59,46
18,3,12,7,0,9,15
46,23,27,7,0,36,28
80,46,56,20,0,58,46
40,11,30,15,0,59,23
62,14,34,16,0,41,30
32,13,26,17,0,43,23
70,42,53,25,0,50,50
85,44,56,29,0,99,51
66,29,38,7,0,20,23
9,6,19,7,0,13,16
3,13,9,0,0,6,10
28,15,38,17,0,41,28
9,6,16,6,0,8,14
51,23,39,19,0,64,36
40,11,24,10,0,49,41
49,26,30,14,0,29,34
73,41,48,29,0,63,51
91,58,54,27,0,58,59
52,28,22,14,0,61,20
71,58,52,25,0,78,59
86,46,56,26,0,75,45
68,16,20,5,0,62,44
22,24,30,14,0,44,41
20,38,35,13,0,60,26
38,28,21,13,0,22,30
99,47,57,22,0,51,52
11,14,7,3,0,19,18
17,1,12,5,0,9,12
91,53,47,26,0,60,54
51,36,30,6,0,68,28
97,41,54,28,0,58,54
67,22,26,14,0,54,24
81,46,48,25,0,66,51
40,35,23,14,0,41,29
32,20,35,12,0,59,32
99,51,49,20,0,99,56
42,27,36,18,0,66,22
0,13,12,4,0,12,13
9,6,14,3,0,5,17
74,59,51,20,0,50,49
75,42,54,24,0,95,46
44,33,33,15,0,48,26
5,1,1,7,0,5,13
9,2,12,2,0,15,10
10,10,18,5,0,15,14
75,53,57,20,0,81,51
10,9,2,2,0,9,12
48,28,30,6,0,62,44
88,50,53,21,0,54,59
88,51,57,23,0,91,48
13,10,10,1,0,17,17
11,4,8,8,0,9,15
76,43,40,27,0,71,46
48,23,33,6,0,67,20
62,24,31,12,0,49,25
45,39,32,17,0,68,25
45,20,27,16,0,41,39
77,56,59,23,0,95,58
35,22,34,12,0,42,43
8,2,18,3,0,16,16
34,30,33,8,0,31,36
61,39,38,18,0,69,26
71,59,57,25,0,81,48
39,12,24,18,0,27,27
92,47,50,27,0,59,51
55,38,32,8,0,41,23
75,41,50,24,0,59,52
43,12,31,16,0,36,20
50,19,29,9,0,28,41
67,27,38,16,0,34,29
58,22,36,13,0,45,40
35,18,31,16,0,26,44
17,6,6,3,0,7,10
5,2,12,8,0,13,15
76,47,52,25,0,77,49
97,42,52,25,0,71,57
27,39,25,18,0,29,22
11,0,4,3,0,8,14
6,14,3,9,0,19,13
55,10,20,19,0,43,27
12,6,13,7,0,14,16
97,55,41,25,0,66,58
17,12,13,1,0,15,16
38,29,34,13,0,63,40
89,40,59,28,0,50,56
71,55,48,20,0,57,52
11,0,10,7,0,18,16
86,40,47,26,0,71,46
64,28,27,13,0,30,43
88,41,47,22,0,66,50
57,37,21,10,0,23,41
80,43,52,23,0,66,53
65,28,22,18,0,47,20
85,47,40,27,0,99,48
96,48,54,27,0,73,51
1,2,9,8,0,7,19
93,44,42,29,0,98,59
60,30,31,14,0,42,37
3,6,15,6,0,1,12
44,29,36,8,0,52,39
84,53,59,28,0,54,50
15,11,14,6,0,17,14
7,6,2,7,0,19,10
80,44,52,24,0,94,50
78,55,41,20,0,79,55
31,16,32,15,0,47,28
95,54,41,26,0,74,56
41,17,24,19,0,61,41
14,0,5,2,0,7,10
45,22,36,10,0,33,32
13,13,14,7,0,12,10
93,42,45,24,0,98,51
45,24,24,14,0,25,37
16,8,13,6,0,14,12
66,21,22,5,0,39,23
67,21,27,12,0,36,26
70,42,43,25,0,63,49
84,43,47,23,0,77,57
22,31,27,12,0,50,28
21,17,26,12,0,58,29
35,12,29,10,0,24,40
53,20,32,11,0,25,43
13,11,3,6,0,9,11
95,48,44,29,0,97,52
72,49,50,20,0,53,45
24,31,25,7,0,39,41
30,22,29,7,1,31,42
37,26,28,13,0,38,34
42,39,21,17,0,66,44
61,34,33,14,0,60,44
67,11,29,7,0,40,40
6,6,16,1,0,9,11
80,55,56,22,0,75,50
62,24,34,14,0,32,23
1,9,14,7,0,14,16
59,37,31,17,0,36,36
90,47,44,29,0,77,50
31,14,35,18,0,64,39
56,38,22,19,0,65,39
79,44,59,23,0,85,46
35,27,24,10,0,64,38
32,20,23,10,0,66,23
88,58,45,25,0,64,53
73,57,57,24,0,60,49
73,51,41,29,0,80,51
79,42,58,24,0,59,46
43,26,35,18,0,50,30
80,43,46,29,0,61,59
30,37,20,19,0,61,26
93,43,51,22,0,89,46
64,12,31,7,0,68,41
35,11,39,10,0,51,29
59,10,32,12,0,61,34
85,52,59,21,0,90,46
94,41,51,27,0,75,53
53,25,39,11,0,20,38
43,31,21,19,0,21,34
19,12,6,7,0,13,14
33,11,31,10,0,55,32
83,55,43,27,0,82,57
37,15,22,11,0,35,24
59,28,33,11,0,25,31
64,32,33,17,0,51,34
78,54,51,21,0,76,48
33,24,30,5,0,54,36
65,31,27,17,0,54,24
25,34,21,17,1,46,44
20,29,31,11,0,58,34
10,12,15,2,0,2,10
66,10,36,6,0,25,27
52,12,22,9,0,31,39
28,16,23,7,0,57,32
32,37,39,19,0,41,30
89,47,49,29,0,75,51
47,18,39,12,0,58,38
50,32,33,15,0,46,30
80,58,45,23,0,91,56
7,7,19,5,0,6,16
44,21,25,18,0,56,33
35,34,32,13,0,23,30
6,13,10,5,0,12,16
62,24,38,5,0,33,22
36,12,35,18,0,48,32
93,58,45,29,0,87,51
26,31,36,6,0,29,29
85,57,45,23,0,93,49
23,26,23,15,0,23,20
87,48,42,27,0,68,48
62,36,33,13,0,48,35
50,13,24,5,0,65,35
23,39,30,6,0,49,23
26,38,20,19,0,42,32
63,17,38,9,0,56,44
9,4,11,5,0,6,18
11,6,0,4,0,19,16
37,12,26,15,0,57,24
11,10,10,3,0,3,10
43,31,21,16,0,61,44
40,32,35,19,0,47,38
28,35,32,10,0,42,24
51,36,29,15,0,34,26
66,12,38,14,0,34,22
84,45,52,22,0,57,51
84,43,58,24,0,57,51
22,25,28,16,0,26,34
53,18,36,9,0,29,30
27,33,36,13,0,44,36
65,25,33,13,0,42,30
24,20,37,18,0,33,37
47,28,34,13,0,39,20
94,41,55,22,1,55,52
49,22,32,9,0,37,34
79,52,57,21,0,60,47
13,13,12,7,0,18,16
38,27,31,11,0,52,38
68,14,22,6,0,59,35
42,37,35,16,0,64,33
92,47,48,20,0,72,55
51,39,32,15,0,34,20
58,32,32,16,0,66,27
76,57,55,23,0,76,53
50,30,27,17,0,42,39
90,56,48,21,0,99,53
57,15,32,15,0,59,22
72,40,58,21,0,73,57
70,43,52,20,0,92,46
1,12,18,6,0,15,15
0,9,18,0,0,11,17
71,52,45,24,0,81,53
76,49,49,28,0,73,48
50,24,23,19,0,64,28
86,55,54,22,0,54,51
34,27,34,6,0,23,29
50,18,27,7,0,65,28
80,42,44,29,0,62,56
28,29,26,6,0,42,26
6,4,13,9,0,17,13
36,22,21,13,0,58,29
22,35,22,6,0,39,24
96,58,54,27,0,64,53
54,32,33,5,0,55,26
86,55,54,25,0,57,46
38,19,36,19,0,26,29
44,15,37,11,0,44,42
43,20,38,18,0,22,30
13,2,15,4,0,6,17
15,5,6,8,0,7,17
54,36,22,10,0,26,20
57,16,31,11,0,30,29
69,13,24,13,0,36,22
67,12,39,19,0,33,35
50,26,39,11,0,33,37
75,54,57,23,0,64,47
32,18,21,12,0,51,39
20,11,34,16,0,48,21
76,45,53,27,0,51,45
44,33,39,9,0,41,22
17,9,16,0,0,1,13
53,39,25,5,1,24,24
15,2,8,4,0,4,19
78,50,43,25,0,71,46
75,53,40,21,0,82,45
73,57,50,20,0,90,51
75,55,41,26,0,73,52
37,31,32,5,0,58,29
17,6,18,9,0,3,12
17,9,6,7,0,0,13
19,1,10,4,0,8,19
88,45,59,27,0,57,45
16,7,14,6,0,2,15
18,8,9,1,0,15,11
86,45,53,26,0,95,52
93,58,51,21,0,50,48
5,4,0,2,0,15,15
85,40,43,29,0,66,53
6,11,6,1,0,3,16
21,19,37,17,0,31,25
60,29,20,10,0,25,38
64,10,32,11,0,46,20
82,44,41,26,0,65,51
35,23,22,19,0,48,21
60,32,26,7,0,50,37
8,0,13,3,0,6,19
71,43,56,20,0,96,54
31,33,35,13,0,46,36
96,57,41,23,0,62,59
97,40,50,29,0,97,55
78,52,47,27,0,73,49
8,3,16,0,0,15,17
40,30,37,11,0,29,32
9,3,4,1,0,13,10
73,57,59,27,0,92,56
84,54,44,26,0,75,53
65,37,36,6,0,22,21
18,0,11,0,0,2,10
2,7,19,3,0,6,13
0,0,9,5,0,7,16
35,29,35,11,0,62,33
95,52,59,22,1,75,55
63,39,36,16,0,52,32
53,21,35,8,0,61,28
32,32,36,18,0,21,39
13,2,11,7,0,3,12
65,15,32,8,0,31,39
18,7,6,2,0,10,14
24,20,34,7,0,42,40
34,12,25,5,0,27,40
5,7,9,7,0,13,16
31,15,31,11,0,60,29
36,12,38,5,0,23,29
79,43,57,24,0,61,45
25,17,38,15,0,31,28
30,37,23,14,0,67,27
61,21,33,10,0,41,40
99,46,59,27,0,58,45
57,31,31,10,0,25,36
57,33,38,14,0,40,43
94,46,40,21,0,81,56
96,49,53,28,0,81,54
30,32,21,13,0,42,26
40,11,37,19,0,53,39
69,38,37,18,0,27,31
92,59,56,21,1,85,45
59,34,23,14,0,56,38
96,55,40,27,0,57,46
4,9,12,2,0,7,19
31,11,30,16,0,32,24
21,14,26,14,0,31,35
99,48,54,24,0,60,54
60,30,33,6,0,26,27
54,24,35,8,0,20,23
95,44,55,20,1,89,57
85,43,47,24,0,93,56
67,10,28,16,0,47,43
71,53,41,26,0,97,54
61,15,23,9,0,60,27
18,9,10,8,0,14,14
29,21,23,19,0,59,23
11,1,3,4,0,17,12
53,18,33,8,0,64,37
61,25,31,8,0,61,20
95,56,55,27,0,91,50
86,45,43,20,0,53,51
86,47,54,27,0,92,46
16,11,15,8,0,14,13
11,13,3,2,0,17,18
16,11,3,9,0,19,16
4,4,14,0,0,12,12
37,23,23,8,0,38,32
94,51,43,21,0,59,54
58,14,29,14,0,40,27
86,46,53,24,0,98,53
95,59,47,25,0,68,48
32,23,20,18,0,68,23
29,15,20,11,0,40,35
19,3,5,5,0,4,17
66,15,38,5,1,22,29
60,17,22,13,0,57,32
89,51,52,21,0,97,51
32,26,28,5,0,38,38
61,19,39,13,0,66,21
55,28,36,9,1,26,36
7,12,3,5,0,11,13
28,13,38,12,0,37,29
11,1,16,7,0,16,10
28,24,22,10,0,64,31
40,26,32,5,0,51,26
37,25,33,15,0,58,36
63,17,21,11,0,57,28
13,7,18,2,0,13,13
11,1,10,5,0,15,13
92,43,54,27,0,56,53
79,44,51,21,0,61,51
29,24,31,14,0,26,28
58,32,21,10,0,64,38
81,54,53,25,0,99,47
9,2,2,0,0,1,13
93,56,59,25,0,81,54
82,58,45,23,0,84,47
56,17,35,10,0,63,44
23,23,33,17,0,36,23
54,26,28,6,0,21,39
96,54,50,26,0,61,52
6,6,12,8,0,12,17
59,31,35,17,0,24,30
29,19,39,6,0,50,30
64,11,25,13,0,39,44
85,51,46,26,0,60,50
46,23,25,10,0,41,39
97,56,47,24,0,82,50
4,6,17,5,0,4,12
79,54,49,21,0,65,50
53,37,21,18,0,35,24
58,22,39,12,0,49,32
76,49,54,24,0,54,51
14,9,15,2,0,18,16
2,7,19,0,1,10,10
5,13,1,3,0,17,10
54,37,26,5,0,57,39
88,41,57,29,0,51,46
50,19,37,16,0,40,36
67,26,22,14,0,45,40
57,21,27,9,0,35,20
72,59,54,27,1,92,49
5,9,5,8,0,7,10
57,30,27,7,0,40,43
95,53,57,28,0,58,59
29,38,35,8,0,56,41
8,7,15,5,0,5,14
28,34,32,14,0,68,30
7,6,4,9,0,3,18
83,41,48,24,0,72,54
44,31,22,10,0,25,40
37,32,21,16,0,39,26
19,0,0,0,0,19,18
83,50,51,29,0,73,59
3,7,15,0,0,14,18
20,24,38,8,0,54,32
17,1,6,8,0,6,16
6,0,0,4,0,1,18
51,13,39,6,0,51,32
54,25,23,13,0,35,38
41,33,30,17,0,55,23
89,57,57,28,0,51,49
81,46,54,26,0,75,49
50,28,28,19,1,56,21
65,23,20,7,0,66,38
60,28,24,6,0,31,26
81,42,44,20,0,81,54
4,12,9,8,0,3,13
17,13,14,5,0,14,13
68,21,26,15,0,69,29
82,49,57,29,0,97,53
12,3,13,0,0,4,17
63,14,24,19,0,61,20
99,57,51,22,0,79,53
22,23,23,13,0,58,31
92,48,41,25,0,80,56
51,27,32,18,0,61,31
62,34,21,9,0,25,41
32,12,25,15,0,68,29
3,1,10,6,0,17,14
65,21,37,15,0,49,27
14,8,18,3,0,18,14
27,28,27,14,0,38,37
76,48,40,22,0,82,59
6,9,11,7,0,4,10
41,24,32,16,0,42,20
69,30,35,17,1,45,35
57,11,36,10,0,57,29
46,18,27,16,0,48,25
5,9,6,2,0,18,16
59,27,32,9,0,28,34
44,22,21,7,0,54,25
61,33,25,11,0,68,38
76,48,59,24,1,79,48
46,37,37,16,0,21,24
85,42,43,26,0,78,47
34,37,29,13,0,29,36
18,1,1,5,0,7,19
13,8,15,0,0,17,18
40,34,20,9,0,25,42
55,37,32,5,0,59,39
76,51,41,27,0,72,58
90,50,44,22,0,51,52
6,13,13,4,0,10,16
77,48,42,21,0,70,54
82,59,45,23,0,51,53
25,18,22,5,0,24,32
85,58,42,24,0,88,57
91,42,59,24,0,82,52
39,37,35,6,0,32,32
94,53,55,28,0,72,46
